0: 1151,751,558,597,408,496,540
1: 383,915,1174,1032,487,64
2: 104,724,461,557,1133,1075
3: 504,85,760,763,757,75
4: 1204,712,968,526,617
5: 334,953,256,650,1017,942
6: 290,988,162,377,172,566
7: 702,913,572,361,351,220
8: 18,1165,874,590,121,653
9: 1114,1003,893,54,163
10: 901,1103,13,207,252,516,370,684
11: 559,981,529,609,807,762
12: 569,691,722,749,692,443
13: 10,1103,207,252
14: 870,1056,244,324,1015,71
15: 799,847,236,257,872
16: 736,842,38,66
17: 853,35,164,733,1096,1046
18: 8,184,1197,874
19: 609,908,79,794,762,188
20: 549,914,122,599,234,475
21: 674,566,542,329,172,705
22: 1109,272,1169,427,894,1137
23: 386,530,822,1004,928,1130,754
24: 1124,740,568,643,233,971,73
25: 1203,476,1131,305,758,679
26: 165,261,1111,471
27: 296,32,747,604
28: 143,1203,1131,706,85,459
29: 619,1029,1187,100,232,424
30: 1085,284,181,927,980,782
31: 1085,181,312,727,464,981
32: 27,170,784,560,732
33: 1160,794,762,807,226,1121
34: 1171,571,925,789,1013
35: 1191,456,648,17,853,514,733
36: 227,1183,683,835
37: 1037,1068,1164,381,512
38: 66,1175,736,16,585,197
39: 921,190,259,148
40: 355,685,825,737,1098,360
41: 1071,446,890,398,1105,764
42: 242,238,288,934,310
43: 531,1055,652,541,946
44: 358,103,112
45: 509,840,414,1010,743,765
46: 872,143,763,799,957
47: 556,911,944,374,574,1205
48: 384,1041,109,469,611,695
49: 238,1098,270,1057,939,1069
50: 233,235,303,767,877,224
51: 1005,1113,89,1062,303,1126
52: 129,966,1136,1104,274,243
53: 231,481,59,255,195,1045
54: 410,543,625,163,893,9
55: 1160,794,297,188,686,866
56: 1107,73,233,235,1113,200,976
57: 816,579,1198,883,98,1204
58: 408,496,878,641,713,341,759
59: 678,263,255,53,847,1045
60: 295,392,1018,777
61: 494,982,281,402,1036,69
62: 1181,94,979,859
63: 669,246,606,612,969,790
64: 406,279,1,383,915,487,448
65: 226,833,316,495,1121,1058
66: 1073,38,16
67: 814,939,161,457,1069,115,770
68: 1209,314,797,694,830,1100
69: 380,168,728,402,61,281
70: 1076,959,1163,761,1177
71: 1112,223,1056,14,1093,244,324
72: 155,319,615,820,151
73: 971,1107,56,568,233,235,24
74: 384,1041,742,160,970,715
75: 745,757,504,3,642,603
76: 150,480,949,997,362,1195,964
77: 864,797,694,1167
78: 399,1165,1149
79: 1153,413,1205,908,19,188
80: 809,824,1011,182,1161,571
81: 301,308,922,421,588,602
82: 631,941,420,561,245,1166
83: 268,595,689,372,681,1154,944
84: 904,720,628,678,257,622
85: 504,3,706,143,763,28
86: 309,836,753,375
87: 550,225,696,938,1185,701
88: 931,661,1105,482,1109,1137
89: 515,1062,1014,877,303,51
90: 176,222,756,547,373,91
91: 221,214,749,373,90,176,222
92: 518,1120,1008,693,139,973
93: 166,1188,921
94: 412,979,554,1181,62
95: 1206,246,124,606
96: 416,383,745,711,279
97: 829,788,779,1156,737,685
98: 548,1204,816,57,317,396
99: 786,909,507,1002,194,333,1024
100: 972,232,484,29,889,1179
101: 191,1096,1077,569,691
102: 152,464,278,791,529,940
103: 358,44,586,112,458,511
104: 2,724,544,1196,1133,1115
105: 335,453,906,155,615,860
106: 674,566,403,162,1011,394
107: 153,1084,1138,537
108: 888,882,479,393,524,1070
109: 459,469,633,706,1041,48
110: 849,1139,1107,525,995,1043
111: 752,363,289,174
112: 520,458,103,44
