0: 408,751,597,558,496,540
1: 487,915,1064,1168,1154,448
2: 298,724,104,461,426
3: 504,15,1050,46,760,763
4: 617,526,968,913,548,712
5: 650,953,942,844
6: 988,566,377,290,172,716
7: 442,337,587,730,361,572
8: 1228,590,184,653,121
9: 1114,543,1223,803,163
10: 1040,171,509,407,621,1152
11: 33,762,529,940,19,981
1209: 186,314,1055,773,694
1214: 753,498,348,586,677,608
1235: 578,402,989,906,155,105
15: 3,504,143,46,85,872
16: 736,38,842,66
17: 470,164,876,434,986
1256: 1170,440,1074,1212,193,340
19: 940,908,529,79,762,11,794
20: 299,1009,122,549,475,914
21: 106,394,542,674,566,172
22: 427,1109,1013,500,127,962,159
23: 424,928,965,754,945,795
24: 971,740,224,643,1124,568
25: 1203,476,305,758,679
26: 165,261,1061,1155
27: 604,32,1220,629,747
28: 706,504,1203,85,742,633
29: 484,619,1029,232,424
30: 126,917,284,439,618,727
31: 152,529,727,917,981,181
32: 604,27,170,784,919,629
33: 866,762,11,807,981,828
34: 292,210,925,789,571,983
35: 1145,876,774,514,733
36: 683,1183,1017,227,671,835
37: 783,811,494,861,512
38: 736,16,585,66,1215,1221
39: 921,190,259,148
40: 360,238,992,356,832
41: 446,890,1171,285,1161,1105
42: 288,934,1054,1116,310
43: 271,531,541,946,958
44: 112,458,358,103
45: 840,723,1004,975,474,1010,1194,1033
46: 1006,143,847,763,3,15
47: 268,1205,689,556,1035,944
48: 633,642,459,657,468
49: 1142,285,1090,501,446
50: 1046,222,1043,56,1107,1014
51: 1005,303,930,89,235
52: 806,966,1224,728,129,697
53: 897,622,1021,865,481,255
54: 669,524,738,1088,1251,1217
55: 866,762,794,686,1018,620
56: 976,200,1107,1174,1043,50
57: 204,1178,816,579,1204,883
58: 341,496,878,540,641,713
59: 799,195,924,622,1021,796
60: 113,1091,174,1101,752,777
61: 281,982,402,168,380
62: 1181,94,979,859
63: 393,612,888,242,250,825
64: 448,279,487,1082,383
65: 807,833,316,495,226,1121
66: 1215,280,16,38
67: 1086,1027,1196,1145,1180,1022
68: 300,311,1055,694,993,77
69: 467,734,613,806,697,989
70: 381,119,1106,513,761,1177
71: 1015,627,1057,580,1093,974,1112
72: 422,319,486,570,1084,1036
73: 233,1016,1014,1107,1032,1139
74: 1249,160,611,384,109,187
75: 760,757,1197,1050,605,603
76: 949,480,964,1080,150
77: 797,1055,300,68
78: 399,1228,455
79: 1153,413,1190,908,19,794
80: 182,1259,1253,661,571,1129
81: 308,602,301,922
1231: 386,795,822,647,247
1167: 936,149,867,1100,1185,225,527
84: 904,628,263,678,249,564
85: 1203,476,872,504,15,28
86: 836,309,753,498
87: 147,640,610,451,696,1034
88: 987,272,1129,789,661,1169
89: 1151,515,1113,1005,51,235
1218: 1244,265,493,166
91: 161,1081,1148,221,1068,1096
1255: 1091,1018,634,579,1101
93: 145,190,493,203,1244,921
94: 282,979,412,554,1181,62
95: 606,771,528,984
96: 487,915,488,711,605,383
97: 355,985,788,1141,639
98: 396,213,816,548,1204
99: 1135,118,593,786,333
100: 484,211,1179,232,972
101: 1072,1112,1069,1083,1063
1250: 705,658,1070,479,1054
103: 358,586,458,44,511,667
104: 724,544,933,258,2
105: 906,335,155,1260,820,1235,453
106: 21,394,566,162,182,1011
107: 1138,437,1118,537
108: 882,250,669,246,625,612
109: 1225,384,657,611,74
1196: 1027,1246,1092,1086,67
111: 752,113,392,295
112: 520,458,44,261
113: 60,116,1091,295,752,111
114: 232,972,875,928,750,530
115: 1093,692,1069,457,1067,1056
116: 113,1091,729,620,295
117: 477,726,937,826
118: 1135,99,927,158,916
119: 381,266,70,1164,408,761
1176: 554,328,731,1087
121: 1240,653,8,1228,1252
122: 599,885,549,20,216,475
1257: 785,852,369,920,193,327
124: 606,771,418,539,801,829
125: 956,362,480,902,271,805
126: 30,284,439,1135,927
127: 962,159,207,22,139,397
1238: 601,964,787,997
129: 243,728,1224,52,274,557
1217: 1251,410,163,543,738,54
131: 954,683,843,198,904,720
132: 780,452,1159,707
133: 1131,1188,293,670
134: 307,273,649,435,690,583
135: 486,570,421,308
136: 655,541,946
137: 861,1211,1258,906,335,982
138: 418,539,536,477
139: 693,1117,127,962,973,397
140: 585,368,725,142,197,343
1247: 1136,153,365
142: 983,725,978,553,368,140
143: 1006,46,678,249,15,872
144: 216,626,475,429,950,353
145: 190,400,93,970,187,203
146: 1031,901,675,645,723,1065
147: 640,87,610,575,815,624,700
148: 851,39,259,387
149: 936,1167,1140,527,314,773
150: 322,338,902,76,480,1080
1182: 707,378,483,1159,332
152: 31,529,727,910,1210,278,940
153: 1136,1247,365,319,613
154: 668,306,1239,889,503,875,562
155: 105,734,820,989,1235
156: 334,198,998,1000,1189
157: 506,664,453,704,286,382
158: 938,916,701,118,927,264
159: 127,207,22,427,1134,449
160: 1249,220,74,611,442,587
161: 1081,1148,91,1076,798,1062
162: 538,988,566,106,182
163: 1217,410,9,543,803,1243
164: 470,17,648,733,755
165: 26,261,1061,598,831,520
166: 493,963,1241,265,1218
167: 716,856,217,430,326,377
168: 578,402,243,728,380,61
1160: 1035,417,1108,1153,1144
170: 1158,919,629,32
171: 1040,397,10,561,518,973,407
172: 566,6,329,716,674,21
173: 401,839,811,827,381,266
174: 317,1101,60,776,1234,777
175: 1184,1126,923,943,848
176: 1030,798,214,767,508,517,573
177: 704,248,862,850,1039,664
178: 430,326,831,520,458,667
179: 327,323,718,1170,778,990
