0: 1151,751,408,558,597,496,540
1: 383,915,1174,1032,487,64
2: 104,724,461,557,1133,1075
3: 757,75,760,763,504,85
4: 548,1204,712,968,526,617
5: 334,953,256,650,942,1017
6: 290,988,162,716,377,172,566
7: 702,913,572,361,351,220
8: 18,590,653,121
9: 163,1114,1003,893,54
10: 901,1103,13,252,207,516,370,684
11: 559,981,529,609,807,762
12: 692,691,722,749,101,569
13: 10,1103,252,207
14: 870,1056,244,324,1015,71
15: 799,847,236,257,46,872
16: 736,842,38,66
17: 853,35,164,733,1096,1046
18: 8,874,184,1197
19: 609,908,79,794,762,188
20: 549,914,122,599,234,475
21: 674,566,106,329,172,705,542
22: 1109,272,1169,427,1137,894
23: 822,1130,1004,928,530,754
24: 1124,740,568,643,233,971,73
25: 1203,476,1131,305,758,679
26: 165,261,471,1111
27: 32,604,747
28: 85,706,143,1203,459
29: 1029,1187,232,424
30: 1085,284,181,927,980,782
31: 1085,181,727,312,981,464
32: 27,170,784,560
33: 1160,794,762,807,226,1121
34: 789,1171,571,925,1013
35: 17,853,514,1191,456,648,733
36: 835,1183,683,227
37: 1037,381,1068,512,1164
38: 1073,66,1175,736,16,585,197
39: 921,190,259,148
40: 355,685,825,737,1098,360
41: 1071,446,890,398,1105,764
42: 242,238,288,934,1090,310
43: 531,1055,541,946
44: 358,103,112
45: 509,840,414,1010,1033,743,765
46: 872,143,763,15,799,957
47: 944,374,574,556,911,1205
48: 384,1041,109,469,611,695
49: 238,1098,270,939,1057,1069
50: 233,235,303,767,877,224
51: 1005,1113,1126,89,1062,303
52: 129,966,1136,274,243
53: 231,481,59,255,195,1045
54: 410,543,625,893,9,163
55: 297,188,686,1160,794,866
56: 1107,73,233,235,1113,200,976
57: 816,579,883,1204,98
58: 641,496,713,408,341,878,759
59: 678,263,255,53,847,1045
60: 392,777
61: 494,982,281,1036,402,69
62: 1181,94,979,859
63: 612,969,669,246,606,790
64: 406,279,1,383,915,487,448
65: 226,833,316,495,1058
66: 1073,38,16
67: 814,1069,457,161,115,770
68: 1209,314,797,694,830,229
69: 380,168,728,402,61,281
70: 1076,959,1163,1177,761
71: 1112,223,1056,14,1093,244,324
72: 155,319,615,151,820
73: 971,1107,56,568,233,235,24
74: 384,1041,742,160,970,715
75: 745,757,3,504,642,603
76: 150,480,949,997,1195,964
77: 864,797,694,1167
78: 399,1149
79: 908,19,1205,1153,413,794,188
80: 824,1161,809,571,1157
81: 301,308,922,421,588,602
82: 245,1166,561,631,941
83: 268,595,689,372,681,1154,944
84: 904,720,628,678,257,622
85: 504,706,28,143,763,3
86: 309,836,753,375
87: 1185,550,225,696,147,701
88: 931,661,1105,482,1109,1137
89: 515,1062,1014,877,303,51
90: 176,222,756,547,373,91
91: 221,214,749,373,90,176,222
92: 1129,518,1120,139,693,407,973
93: 166,1188,921
94: 412,979,554,1181,62
95: 1206,246,984,124,606
96: 416,576,383,745,711,279
97: 829,788,779,1156,737,685
98: 548,1204,816,57,317,1178,396
99: 786,909,333,507,194
100: 972,232,484,889,1179
101: 191,1096,569,1077,12,691
102: 152,278,791,529,464,940
103: 358,44,586,112,458,511
104: 2,724,544,1196,1115,1133
105: 335,453,906,860,155,615
106: 674,21,566,162,394,1011
107: 153,1084,1138,537
108: 888,882,479,393,524,1070
109: 459,469,633,706,1041,48
110: 849,1139,525,995,1043
111: 752,363,289,174
112: 520,458,261,103,44
113: 777,1190,776
114: 972,232,928,424,530,750
