0: 751,408,597,558,496,540
1: 1174,1032,1168,915,487,372
2: 274,557,724,104,461
3: 85,763,760,757,75,504,603
4: 548,1204,712,968,617,526
5: 650,942,1017
6: 566,988,716,377,172,290
7: 702,913,361,442,351,220
8: 18,590,653,121,948
9: 893,543,1114,1088,54
10: 1040,207,252,13,684,891,516,723,370
11: 981,529,559,609,807,762
12: 722,749,101,691
13: 252,684,10
14: 244,324,1015,870,1056,71
15: 46,143,28,257,799,236,872
16: 736,842,66,38
17: 164,35,1145,1096,853,1046
18: 8,590,184,874
19: 609,908,188,79,794,762
20: 299,914,122,549,475,234
21: 1011,106,172,674,329,566
22: 141,894,427,1137,1169,1109
23: 206,754,945,1004,795,822
24: 1124,643,568,73,971,740
25: 1203,872,476,305,1131,679
26: 165,261,1111,471
27: 629,747,170,604,32
28: 85,143,15,1203,872,706
29: 484,1029,1187,965,232,424
30: 1085,284,181,927,980,782
31: 464,981,727,312,1085,181
32: 604,296,170,784,27
33: 1160,794,762,828,807,226
34: 789,80,571,925,210,1013
35: 17,164,514,1191,1077,853
36: 835,683,227
37: 1184,512,861,1211,1095,1119
38: 66,1215,16,585,1073
39: 921,190,259,148
40: 1156,825,737,360,834
41: 1071,446,398,890,764,1105
42: 288,934,1090,238,242,310
43: 271,531,541,946,958
44: 112,458,358,103
45: 743,1033,1010,509,840,275,414
46: 143,763,15,947,799,957
47: 1035,944,911,1205,374,574
48: 742,160,1041,109,74,384,611
49: 501,832,1098,1057,270
50: 233,224,877,767,303,235
51: 303,1113,1126,1062,845,1005
52: 274,557,721,966,755,129
53: 231,481,59,255,195,1045
54: 410,625,9,543,163,447
55: 297,686,620,188,1160,794
56: 995,1107,73,233,235,976,1043
57: 816,579,991,883,1204,712
58: 641,496,341,713,878,759
59: 678,263,255,53,847,1045
60: 392,116,777,113
61: 494,281,402,69,982
62: 859,1181,94,979
63: 790,854,393,246,606,669,612
64: 605,915,487,448,383
65: 226,833,316,1058,495,1121
66: 1215,280,38,16
67: 390,115,161,1069,814,457,770
68: 797,864,229,186,1209,694
69: 613,728,578,168,61,281
70: 119,1076,266,1106,761,1163
71: 1112,223,180,1056,1093,244,14,519
72: 820,860,319,570,486
73: 995,1107,56,971,233,24,568,1043
74: 384,160,48,715,970,1019
75: 745,757,711,3,504,603
76: 949,964,1080,150,480
77: 300,694,993,797
78: 399
79: 188,1153,413,1205,908,19
80: 789,34,1157,1161,571,1171
81: 301,922,602,308,588
82: 1007,631,561,245,621,941
83: 595,689,574,268,944
84: 904,720,628,622,678,263
85: 143,763,28,3,504,706
86: 753,498,836,309
87: 147,640,225,696,701,1060
88: 931,482,1105,1137,1109
89: 1014,877,775,515,1062,346
90: 91,547,191,373
91: 90,176,547,191,373,221,214,222
92: 1129,693,139,518,973
93: 166,493,921
94: 412,979,554,1181,62
95: 124,984,418,771
96: 416,576,745,711,383
97: 1099,829,788,489,1162,355
98: 548,1204,816,396
99: 194,333,1024,786,909,330
100: 972,232,211,1179,484,889
101: 12,722,749,774,691,1077,569,853
102: 152,791,278,464,529,940
103: 358,586,458,44,667,511
104: 724,544,1097,2,1133
105: 335,1036,906,382,453,615
106: 21,1011,162,566,824,1116,1123
107: 537,748,1138,437
108: 888,882,479,524,612,1070
109: 459,469,633,1041,48,611
110: 1139,849,1107,1043,1174,1032
111: 752,662,776,174
112: 520,458,44,261
113: 174,317,777,60
114: 972,232,750,928,424,530
115: 1093,390,161,67,770,1056
116: 1018,729,295,392,60
117: 477,726,937,885,826
118: 916,330,158,593,284,917
119: 266,70,1151,408,761,341
120: 880,239,545,768,192,253,342
121: 948,1165,8
122: 599,885,826,549,20,475,216
123: 898,516,159,397,490,207,169
124: 606,95,984,418,771,790,801
125: 271,805,362,956,902,480
126: 768,439,593,192,1210,917
127: 349,962,139,159,397,693
128: 552,977,687,336,1001,130,1078,522,1208,935
129: 755,243,1172,966,1083,52
130: 1078,522,336,128
131: 954,1021,198,904,564,735
132: 707,378,780
133: 671,714,1053,293,385,670
134: 307,1155,803,649,583
135: 421,422,308
136: 655,652,541,946
137: 861,1211,982,335,906,999
138: 539,536,477,937
139: 127,397,92,693,973,407
140: 368,142,1073,343,269
141: 500,894,1042,22,703,1137
142: 140,368,978,1122,983,343
143: 46,85,763,28,15,799
144: 950,626,475,216,429,353
145: 190,400,277,187,203,970
146: 723,840,901,684,1065,645
147: 640,87,610,1060,1034
148: 851,259,39,387
149: 247,773,527,830,1100,314
150: 902,480,322,338,76,1080
151: 365,319,1118,153,820
152: 102,312,910,879,791,464
153: 1118,151,734,1084,820
154: 668,306,503,875,562
155: 820,860,734,989,1036
156: 1189,1023,334,998,720,198
157: 177,382,453,594,286,359
158: 916,118,284,451,938,927
159: 127,349,397,427,490,499,207,123
160: 742,48,74,657,715
161: 390,115,67,1081,814,201
162: 566,988,106,824,538
163: 803,447,1088,54,690
164: 17,35,1191,1145,733
165: 26,261,598,831,520
166: 93,265,963,493
167: 716,377,217,215,607,430
168: 380,497,648,578,69,281
169: 407,171,397,898,960,1194,516,123
170: 676,784,919,1158,27,32
171: 407,169,245,1194,485,621
172: 716,856,329,566,6,21
173: 1145,1027,827,839,391,470
174: 113,317,776,111
175: 515,1126,1016,943,405
176: 91,547,214,756,1014,775,222,346
177: 157,453,664,248,594
178: 430,667,344,831,326,520,458
179: 546,852,327,778,323,785
180: 1112,71,223,974,627,1079,798
181: 1085,30,981,31,559,782
182: 1116,1157,1161,1123,1067,660
183: 563,746,425,665
184: 387,851,18,399
185: 196,535,503,415,886
186: 1209,314,830,1055,229,68
187: 695,203,384,793,970,145
188: 1153,79,19,794,297,55
189: 895,949,668,306,362
190: 145,400,259,203,39,921
191: 1096,373,434,90,91,547,654
192: 253,1210,342,120,768,126
193: 785,369,1212,862,327
194: 507,333,99,1012,534,1024
195: 947,199,796,53,231,1045
196: 535,185,237,1216
197: 600,364,1175,269,1073
198: 131,954,156,334,904,720
199: 195,947,796,817,592,957,465
200: 491,855,976,772,1113,930,1005,766
201: 1081,691,876,287,390,161,428,722
202: 388,1079,449,423,466,1031
203: 187,493,695,145,190
204: 297,686,634,1044,579,1101
205: 653,792,354,389,1089
206: 754,644,463,23,1004,507,584
207: 10,1040,490,499,159,516,123
208: 275,1001,414,1065,717,1128,522
209: 718,990,769,320,276,256
210: 1013,789,34,661,272,1102
211: 1146,1179,484,619,100
212: 283,617,526,354,702,304
213: 283,617,548,363,838
214: 221,974,627,176,91,508,222
215: 663,607,813,167,716,856
216: 626,475,144,122,885,719
217: 873,435,326,607,430,167
218: 349,427,499
219: 679,469,1050,305,1188
220: 351,318,442,1019,1197,7
221: 974,214,692,749,569,373,91
222: 1014,775,214,176,91,508,573
223: 71,180,244,519,1079,449
224: 50,233,767,810,517,568
225: 550,1185,696,345,1060,87
226: 807,833,65,33,828,1121
227: 843,683,339,36,835,714
228: 672,1173,420,267,560,709
229: 1055,652,186,655,864,68
230: 1038,959,848,827,811,401,955
231: 53,481,897,903,195,796
232: 100,114,972,484,29,424
233: 50,224,235,568,73,56
234: 1136,429,20,914,475
235: 303,1113,50,233,56,976
236: 1006,249,257,15,872,476
237: 196,535,841,1216
238: 242,1098,360,310,42,501
239: 120,880,1208,366,545,765
240: 950,626,673,489,912,544
241: 1130,386,871,857,530
242: 238,360,250,825,42,934
243: 578,755,129,1172,728
244: 432,324,14,1056,71,223,519
245: 407,171,561,973,82,621
246: 528,1022,606,669,63
247: 149,527,1049,823,1125,1100
248: 781,262,664,177,594,850
249: 236,1006,678,622,564,257,847
250: 825,985,888,882,934,242
251: 302,978,375,836,899,567
252: 1103,13,684,1042,321,10,1040
253: 192,342,120,880,868,312,910,879
254: 637,647,961,1100,386
255: 59,263,759,53,481,513
256: 650,769,209,320,953
257: 799,847,236,249,15
258: 1133,952,1075,298,350,514
259: 190,400,39,379,387,148
260: 1170,440,589,778,597,357
261: 26,165,112,520
262: 781,588,248,602,409,664
263: 59,678,255,759,713,84,628
264: 1135,927,980,451,701,688
265: 670,293,166
266: 119,1076,381,783,70,1151
267: 732,560,228,709
268: 278,574,1147,83,595,791
269: 364,197,140,1073,343,725,846
270: 939,1057,1069,1098,666,49
271: 43,531,125,805,902
272: 1169,1109,1102,661,210
273: 1111,471,438,565,1061
274: 52,557,2,755,461,1063
275: 208,1001,414,1033,45,366
276: 320,869,718,209
277: 145,400,970,1197,379
278: 374,574,268,102,791,940
279: 448,406,383,576,1082,444
280: 66,1215,932,646
281: 494,450,61,69,380,168,391
282: 445,369,979,506,859,881
283: 212,213,617,354,838,389
284: 1085,30,917,118,158,927
285: 1071,446,832,1057,551,457
286: 999,1095,157,382,920
287: 1093,390,443,201,691,692,428,722
288: 42,934,542,1090,1054,882
289: 863,838,662,363,741,1091
290: 492,951,344,377,988,6
291: 1143,338,531,958
292: 983,343,925,725,1013,804
293: 1188,385,133,265,670
294: 636,313,474,433,743,1010,1002
295: 332,116,392
296: 604,32,1025,784,560
297: 55,686,204,188,1153,1044
298: 774,350,1077,258,514
299: 20,1009,914,549
300: 311,77,993,1034
301: 81,922,588,1176
302: 251,978,375,858,802,1122
303: 51,1113,235,877,1062,50
304: 792,702,351,411,212,354
305: 1053,1131,25,679,219,1188,385
306: 154,562,189,1195
307: 134,1155,1061,563,425,1127,649
308: 135,421,81
309: 836,899,842,86
310: 238,42,1090,992,501
311: 300,1034,577
312: 152,879,253,342,727,464,31
313: 636,474,433,294
314: 186,1209,149,773,830,1167
315: 968,572,1020,900
316: 833,65,1135,980,782,495
317: 777,1178,776,113,174
318: 351,411,220,1197,874
319: 365,151,422,820,72,570
320: 276,209,650,256
321: 423,1134,1042,252,1103
322: 150,338,1080,404,505,1143
323: 179,546,778,718,990
324: 432,244,14,1015,580,703,519
325: 329,705,658,813,856,1054
326: 831,873,217,178,430
327: 179,785,193,1170
328: 554,1176,781,850,412
329: 674,325,705,856,172,21
330: 916,118,99,1024,593,786
331: 992,532,403,356,398,1142
332: 1182,295,635,376,729
333: 507,194,99,463,909
334: 942,953,998,156,954,198
335: 105,906,382,137,999
336: 552,977,687,128,130,1078,522,698,591
337: 730,436,1207,468,657,587
338: 150,902,322,531,1143,291
339: 843,758,227,1053,1131,714
340: 589,1119,1074,440
341: 58,496,119,408,878,761
342: 192,253,1210,727,120,312,879
343: 983,292,725,140,142,269
344: 178,430,667,377,492,290
345: 993,1060,1167,773,225,1185
346: 515,1062,176,756,1016,775,89
347: 1052,618,1012,1002,534,918
348: 358,586,753,1214
349: 127,962,218,159,1169,1102,427,499
350: 298,774,876,258,952,1072
351: 411,318,220,7,702,304
352: 645,717,675,632,1124,643
353: 429,721,950,144,724,557
354: 212,283,304,792,205,389
355: 1156,1162,1099,97,639
356: 501,832,992,331,398,446
357: 597,558,260,778,990,1000
358: 103,586,348,44
359: 1212,920,862,157,594,704
360: 238,242,1098,825,40,834
361: 7,913,730,587,442,572
362: 956,1195,949,189,480,125
363: 662,396,548,213,289,838
364: 600,197,269,846,395
365: 151,319,422
366: 239,1208,1033,275,1001,765
367: 415,708,668,601,787,895
368: 140,567,585,142,1073,978
369: 282,785,445,193,506,862
370: 723,10,684,891
371: 821,891,723,509
372: 681,1154,1064,1,1032,487
373: 569,191,1096,749,221,90,91,547
374: 278,574,1205,47,908,940
375: 251,302,498,858,836
376: 866,635,729,1121,828,332
377: 167,716,430,344,290,6
378: 483,1058,1159,132,707
379: 874,387,400,259,277
380: 648,168,450,281,1027,391
381: 1076,266,783,1037,1038
382: 157,453,105,335,286,999
383: 448,279,605,64,576,96
384: 74,611,793,48,187,970
385: 1188,293,305,1053,133
386: 1130,241,857,1125,647,254
387: 184,379,259,851,148
388: 202,1079,460,798,466,1047
389: 838,283,354,205,926,1089
390: 1093,287,115,161,67,443,201
391: 1186,839,380,450,281,173,1027
392: 60,116,295
393: 63,854,612,888,985,779
394: 532,403,674,542,1090,1011
395: 784,919,600,364,672,523
396: 662,363,776,98
397: 127,139,159,407,169,123
398: 1142,890,331,356,446,41
399: 78,184,851
400: 145,190,259,277,379
401: 986,955,470,827,230
402: 613,989,906,61,982
403: 532,331,394,1011,1123,1142,660
404: 1080,1193,1192,322,505,472
405: 1026,924,845,943,175,1126
406: 448,279,1064,444,417
407: 171,169,245,139,397,973
408: 1151,751,0,119,496,341
409: 664,570,486,421,602,262
410: 54,625,447,887,1070
411: 351,318,874,304,792,590
412: 94,979,506,554,328,850,704
413: 1153,79,1108,911,1205,1198
