0: 408,751,558,58,496,540
1: 1154,681,1168,1020,487,1198
2: 724,104,461,258,298,426
3: 504,15,1050,763,46,760
4: 617,526,968,913,548,712
5: 650,942,953,844
6: 988,566,172,290,377,716
7: 442,337,587,730,361,572
8: 1267,874,590,653,121
9: 1127,307,543,1223,803,163
10: 621,1152,631,1040,171,407,509,1166
1280: 62,1181,94,859
1209: 864,314,773,694,1055,186
1214: 753,498,348,586,677,608
1235: 578,402,989,734,906,155
15: 3,504,143,46,872,85
16: 736,38,842,66
17: 35,1145,470,164,434,986
1256: 1170,1282,193,1074,1212,920
19: 374,908,940,529,981,762
20: 299,1009,122,549,475,914
21: 106,394,542,674,566,172
1152: 521,621,10,631,407,1187,941
23: 945,928,1262,754,795,822
24: 1147,224,1085,1124,740,568
25: 1203,476,305,1248,758,679
26: 165,1263,1061,261
27: 604,1220,32,170,629,747
28: 504,1203,85,633,706
29: 996,1029,965,1179,424,619
30: 618,917,284,126,593,927
31: 940,727,917,782,181,529
32: 604,784,27,170,395,919
33: 762,55,807,226,828,866
34: 661,571,789,292,210
35: 17,876,514,1145,1278,164,733
36: 227,671,683,1017,1183,835
37: 783,811,861,512,1119
38: 736,16,585,66,1215,1221
39: 921,190,259,148
40: 360,832,834,238,825,992
41: 1123,1169,1011,1056,1157,1122
42: 934,1054,310,1094,288,1116
43: 271,531,541,946,958
44: 358,103,112,458
45: 840,723,1004,1010,1194,1033
46: 143,847,763,195,3,15
47: 1035,417,1154,525,1198,1199
48: 742,468,633,459,657,109
49: 501,1273,446,1283,1123,285,1011
50: 257,1041,1043,1076,976,222
1270: 74,384,1275,1249,187
52: 806,966,1224,129,697
53: 897,481,622,255,799
54: 669,524,738,1088,1251,1217
55: 794,33,762,686,866,620
56: 976,1107,222,1045,1051,855,1174
57: 816,204,579,883,991,1204
58: 878,496,0,641,540,713
59: 1006,924,1021,957,592,1197
60: 1255,113,174,1101,752,777
61: 281,1258,450,402,380,168
62: 1280,94,282,979,881,859
63: 393,612,888,242,238,250,825
64: 711,96,448,383,745
65: 807,181,316,1058,226,495
66: 1215,280,16,38
67: 1261,774,1097,1246,457,692
68: 300,311,694,1055,993,77
69: 467,613,734,806,697,989
70: 119,266,959,1177
71: 1057,1083,1015,627,202,974
72: 365,422,1268,1266,1084,319
73: 1077,1139,573,1046,352,1064,1032
74: 1225,1270,109,611,1249,160
75: 760,757,488,808,1050,603,605
76: 949,964,1080,150,480
77: 797,1055,300,68
78: 399,1267,1228,455
79: 188,1190,908,413,794
80: 661,571,1253,182,1259,1109
81: 308,602,922,301
1231: 386,795,822,647,247
1167: 1100,909,867,823,822
84: 904,628,263,678,249,564
85: 1203,476,872,504,15,28
86: 836,309,753,498
87: 147,624,451,815,696,610,1034
88: 1129,331,398,1169,890
89: 1095,1019,175,1005,1191
1218: 1244,265,493,166
91: 1075,1081,1150,1115,810,1096
1255: 116,113,60,1091,634,1101
93: 203,190,493,1244,921
94: 282,554,412,62,1280,1181
95: 606,771,984,528
96: 1020,1059,808,711,605,64,448
97: 355,985,788,639
98: 548,1204,816,396,213
99: 593,118,333,1024,194,786
100: 1179,424,1146,232,972
101: 1098,1162,1069,1093,1099,1071
1250: 705,658,1070,479,1054
103: 358,586,44,458,511,667
104: 724,544,2,933,258
1269: 1036,409,615,1039,664
106: 21,394,566,162,403
107: 1138,437,1118,537
108: 250,882,669,246,625,612
109: 1225,74,48,459,657,611
1196: 434,1027,191,691,1113,1106
111: 752,295,113,392
112: 520,458,261,44
113: 1255,116,60,295,752,111
114: 232,972,875,928,750,530
115: 457,1093,770,1067,692,1069
116: 1255,113,1091,729,295,620
117: 477,726,937,826
118: 593,99,927,786,1110,916
119: 266,70,408,341,496
1176: 554,731,328,478,301,588
121: 1240,1252,1228,8,653
122: 599,885,549,20,216,475
1257: 881,785,852,920,327
124: 606,771,418,539,801,829
125: 271,805,362,956,902,480
126: 618,30,1024,1135,439,593
127: 519,207,449,139
1238: 601,964,997,787
129: 243,728,697,1224,52,274
1217: 1251,163,410,543,738,54
131: 954,683,843,198,904,720
132: 780,624,700,1182
133: 1131,1188,293,670
134: 425,438,1111,649,435,583
135: 486,570,308,421
136: 655,541,229,946
137: 861,1211,982,335,494,1258
138: 418,539,536,477
139: 693,127,519,207,449,973,397
140: 368,725,142,197,343
1247: 153,1281,365,1268
142: 983,725,978,553,368,140
143: 678,847,46,249,872,15
144: 216,626,475,429,950,353
145: 203,187,190,970,277,400
146: 1031,901,675,723,1065,645
147: 624,87,451,431
148: 851,39,259,387
149: 936,527,1140,314,773
150: 322,338,902,480,76,1080
1182: 1159,700,452,132
1148: 1163,346,877,1186,1043
153: 1136,1247,1281,1268,467,613,319
154: 668,306,1239,1276,875,562
155: 906,453,1260,734,1265,1235
156: 334,998,198,1000,1189,1023
157: 506,1039,664,704,286,382
158: 916,938,927,284,701,264
159: 180,1134,223
160: 1249,220,611,74,442,587
161: 798,1075,1081,221,1062
162: 538,988,566,106,182
163: 1217,410,9,543,1243,803
164: 470,733,17,35
165: 26,1061,261,598,520,831
166: 493,695,963,1241,265,1218
167: 716,856,217,430,326,377
168: 380,243,728,578,61
1160: 1144,1153,1213,1044,991
170: 646,1158,919,629,582,27,32
171: 1040,509,10
172: 566,6,329,716,674,21
173: 391,401,839,811,827,959,381
174: 776,1101,317,60,1234,777
175: 89,1095,1191,405,235
176: 798,1030,508,214,632,517
177: 704,248,850,369,862,359
178: 430,326,831,520,458,667
179: 327,546,718,778,990
180: 627,1079,159,244,1134,223,1042
181: 807,529,65,31,782,316
182: 1259,538,162,1253,80
183: 563,746,581,565
1157: 1171,1122,1120,41,1169,890
185: 196,535,503,415,886,1239
186: 652,229,830,864,314,1209
187: 145,203,1270,1275,1249,970
188: 79,1178,1190,1205,413
189: 895,949,306,562,362,857
190: 145,203,93,39,921,259,400
191: 923,986,434,1196,1106,1026
192: 1147,740,439,618,1210,727
193: 1170,1256,920,327
194: 347,768,1024,819,534,333,99
195: 763,799,957,622,847,46
196: 535,185,237,682,1216,503
197: 364,1222,1221,140,343
198: 334,156,1189,720,131,954
199: 235,303,1021
200: 257,1041,303,1006,1021
201: 1022,1133,1115,1038,1096
202: 388,423,974,71,627,1079
203: 145,187,190,93,493,1275
204: 57,579,991,1018,297,634
205: 792,354,590,212,1227,948
206: 616,510,462,463,1049
207: 127,1134,449,139,1040,397
208: 1066,717,840,1065,1052,1002
209: 256,990,769,718,320,276
210: 292,1013,1274,34,804,1073
211: 680,484,1146
212: 617,526,205,354,283,1227
213: 396,548,98,617,283,363
214: 767,508,810,460,1081,176,798
215: 663,813,607,856,325,217
216: 626,719,144,475,122,885
217: 856,167,873,215,607,326
1212: 862,359,920,1074,1256
219: 963,385,469,679,793
220: 1249,160,970,442,318,351
221: 1186,1076,1075,161,1068,1062
222: 56,976,1107,1076,50,1014,1068
223: 1134,449,432,244,180,627,159
224: 24,1147,1124,233,643,568
225: 1060,1185,936,527
226: 495,807,65,33,376,828
227: 735,339,671,36,683,843
228: 732,296,267,560,1279,1007
229: 541,652,186,864,136,655
230: 848,827,923,955
1234: 777,776,174,289
232: 114,972,100,424,928,1262
233: 1016,643,1028,525,224,568,268
234: 914,429,748,966,1224,721
235: 405,199,845,175,303,1191,1021
236: 249,564,872,735,476,758
237: 196,535,682,841
238: 63,888,985,825,834,40
1177: 513,70,865
240: 912,673,1242,626,950,544
241: 956,857,637,871,386,647
242: 63,250,934,310,825
243: 728,129,168,456
244: 482,1015,1137,432,449,223,180,627
1166: 1004,975,821,509,621,10
246: 669,524,790,854,108,612
247: 254,647,1140,1231,867
248: 704,850,177,781,615,664
249: 564,236,872,84,678,143
250: 882,108,63,612,242
251: 302,978,375,836,899,567
1268: 365,72,153,1247,1281,319
1283: 446,356,832,1273,49
254: 647,247,1140,637,961,830
255: 759,713,263,878,53,481
256: 769,209,320,953,998,650
257: 1041,50,200,1006,976,1051
258: 298,350,952,104,2
259: 387,400,190,39,148
260: 597,1219,1170,440,778,357
261: 26,165,112,520
262: 781,588,615,602,421,409
263: 759,713,255,84,628,678
264: 701,782,316,688,284,158
265: 670,1241,166,1218
266: 119,381,70,783,408,1164
267: 732,228,1007,1187,619,1029
268: 971,568,233,525,1035,1205
269: 846,1229,343,364,600,672
1150: 1075,91,1172,1115,1163,1186
271: 43,531,125,805,902
1274: 210,1013,1073,693,519
273: 425,438,746,471,665
274: 461,557,721,1224,129
1191: 303,877,89,175,1005,235
276: 320,718,869,209
277: 379,400,970,145,318,411
278: 1210,940,1147,971,568,574,374
279: 448,487,1198,383,406,1082
280: 66,1215,1175,932
281: 61,450,380,1037,648,391
282: 94,979,369,412,850,62
283: 838,363,1227,212,617,213
284: 917,30,927,158,782,264
285: 1011,1142,501,49,770
